place,latitude,longitude,display_name
Aan boord van Z.M. Brik Gier,,,
Aan boord van Z.M. Brik Zwaluw,,,
Gotha,50.9494849,10.7014435,"Gotha, Landkreis Gotha, Thüringen, Deutschland"
Gouda,52.0114922,4.7106094,"Gouda, Zuid-Holland, Nederland"
Greiffenberg,53.088725,13.9561927,"Greiffenberg, Angermünde, Uckermark, Brandenburg, Deutschland"
Groeneveld,52.3671163,5.7299736,"Groeneveld, Hulshorst, Nunspeet, Gelderland, Nederland, 8077 RS, Nederland"
Groningen,53.2190652,6.5680077,"Groningen, Nederland"
Grosthuizen,52.6177167,4.9765085,"Grosthuizen, Avenhorn, Koggenland, Noord-Holland, Nederland, 1633 EN, Nederland"
Grunowitz,50.9057322,18.3098698,"Gronowice, gmina Lasowice Wielkie, powiat kluczborski, województwo opolskie, 46-280, Polska"
Guyane,4.0039882,-52.999998,"Guyane, France"
Haarlem,52.3885317,4.6388048,"Haarlem, Noord-Holland, Nederland"
Haastrecht,52.0007892,4.7740369,"Haastrecht, Krimpenerwaard, Zuid-Holland, Nederland"
Harderwijk,52.3490693,5.618933,"Harderwijk, Gelderland, Nederland"
Harenburg,54.5475877,9.3216439,"Harenburg, Treia, Arensharde, Kreis Schleswig-Flensburg, Schleswig-Holstein, 24896, Deutschland"
Harlingen,26.1907543,-97.6960599,"Harlingen, Cameron County, Texas, 78550, United States"
Hasselt,50.9303735,5.3378043,"Hasselt, Limburg, Vlaanderen, België / Belgique / Belgien"
Hellevoetsluis,51.833921,4.1436739,"Hellevoetsluis, Voorne aan Zee, Zuid-Holland, Nederland"
Heyen,52.0084368,9.505117,"Heyen, Samtgemeinde Bodenwerder-Polle, Landkreis Holzminden, Niedersachsen, Deutschland"
Hildburghausen,50.4266232,10.7300115,"Hildburghausen, Landkreis Hildburghausen, Thüringen, 98646, Deutschland"
Hillegom,52.2922753,4.5834571,"Hillegom, Zuid-Holland, Nederland"
Hongarije,47.1817585,19.5060937,Magyarország
Hoofdplaat,51.3692476,3.6610641,"Hoofdplaat, Sluis, Zeeland, Nederland"
Hoogeveen,52.7264258,6.4930815,"Hoogeveen, Drenthe, Nederland"
Höttingen,49.0626249,11.0033972,"Höttingen, Ellingen (VGem), Landkreis Weißenburg-Gunzenhausen, Bayern, 91798, Deutschland"
Houten,52.0271433,5.1620637,"Houten, Utrecht, Nederland"
Indische Oceaan,-9.9999999,69.9999999,المحيط الهندي
İzmir,38.4192537,27.128469,"İzmir, Konak, İzmir, Ege Bölgesi, 35250, Türkiye"
Jamburg,59.3743982,28.5981591,"Кингисепп, Кингисеппский район, Ленинградская область, Северо-Западный федеральный округ, 188480, Россия"
Judenliege,,,
Kaliningrad,54.7046485,20.4565666,"городской округ Калининград, Калининградская область, Северо-Западный федеральный округ, Россия"
Kaub,50.0880512,7.7620909,"Kaub, Loreley, Rhein-Lahn-Kreis, Rheinland-Pfalz, 56349, Deutschland"
Keulen,50.938361,6.959974,"Köln, Nordrhein-Westfalen, Deutschland"
Kleef,51.7895571,6.1376008,"Kleve, Bedburg-Hau, Kreis Kleve, Nordrhein-Westfalen, 47533, Deutschland"
Koningslust,51.3565181,5.9950945,"Koningslust, Peel en Maas, Limburg, Nederland"
Krauschow,52.0759187,15.6294679,"Kruszyna, gmina Sulechów, powiat zielonogórski, województwo lubuskie, 66-100, Polska"
Krefeld,51.3331205,6.5623343,"Krefeld, Nordrhein-Westfalen, Deutschland"
